Name,Category,ticker
BARAKAH [s],"Energy, Infrastructure, Equipment & Services",7251.KL
CARLSBG,Food & Beverages,2836.KL
HEIM,Food & Beverages,3255.KL
NESTLE [s],Food & Beverages,4707.KL
AAX [s],"Travel, Leisure & Hospitality",5238.KL
SEM,Retailers,5250.KL
UCHITEC [s],"Industrial Materials, Components & Equipment",7100.KL
AZRB [s],Construction,7078.KL
IDBTECH,Software,3030.KL
AJI [s],Food & Beverages,2658.KL
EATECH [s],Transportation & Logistics Services,5259.KL
BAT,Personal Goods,4162.KL
SLIC,Digital Services,3008.KL
JASKITA,"Industrial Materials, Components & Equipment",8648.KL
EUROSP [s],Houshold Goods,7094.KL
POLYDM [s],"Industrial Materials, Components & Equipment",3031.KL
AMWAY [s],Retailers,6351.KL
CRESNDO [s],Property,6718.KL
ENEST [s],Consumer Services,3025.KL
BURSA [s],Other Financials,1818.KL
NPS [s],Pharmaceuticals,3006.KL
PARAGON [s],Houshold Goods,9407.KL
MFGROUP [s],Consumer Services,3015.KL
M&G [s],Transportation & Logistics Services,5078.KL
BAUTO [s],Automotive,5248.KL
SMRT [s],Digital Services,117.KL
RPLANET,Digital Services,3036.KL
HUMEIND [s],Building Materials,5000.KL
WELLCAL [s],"Industrial Materials, Components & Equipment",7231.KL
HUPSENG [s],Food & Beverages,5024.KL
ADB,Software,276.KL
BNASTRA [s],Construction,7195.KL
GASMSIA [s],"Gas, Water & Multi-Utilities",5209.KL
MRDIY [s],Retailers,5296.KL
TPC [s],Agricultural Products,7176.KL
KEYFIELD [s],"Energy, Infrastructure, Equipment & Services",5321.KL
INFOTEC [s],Digital Services,253.KL
FBBHD [s],Industrial Services,3026.KL
ALPHA,Health Care Providers,303.KL
LSH [s],Construction,3047.KL
SENFONG [s],Industrial Services,5308.KL
HEXTAR [s],Chemicals,5151.KL
KGB [s],Industrial Engineering,151.KL
DSONIC [s],Digital Services,5216.KL
CUSCAPI [s],Software,51.KL
SDS [s],Food & Beverages,212.KL
FOCUSP [s],Personal Goods,157.KL
UTDPLT [s],Plantation,2089.KL
PECCA [s],Auto Parts,5271.KL
MYEG [s],Digital Services,138.KL
ICTZONE [s],Technology Equipment,3038.KL
PWRWELL,"Industrial Materials, Components & Equipment",217.KL
WPRTS [s],Transportation & Logistics Services,5246.KL
REDTONE [s],Telecommunications Service Providers,32.KL
CLOUDPT [s],Digital Services,277.KL
CHB [s],Industrial Services,291.KL
ASTRA,Food & Beverages,3032.KL
LFECORP [s],Industrial Engineering,7170.KL
APOLLO [s],Food & Beverages,6432.KL
INFOM [s],Technology Equipment,265.KL
EDEN [s],Electricity,7471.KL
HEGROUP [s],Industrial Services,296.KL
CTOS [s],Digital Services,5301.KL
SYNERGY [s],Houshold Goods,279.KL
REXIT,Software,106.KL
DXN [s],Retailers,5318.KL
LTKM [s],Agricultural Products,7085.KL
JISHAN [s],Packaging Materials,3040.KL
SSB8 [s],Construction,45.KL
DYNAFNT,Software,3046.KL
ZELAN [s],Construction,2283.KL
DAYANG [s],"Energy, Infrastructure, Equipment & Services",5141.KL
CARIMIN [s],"Energy, Infrastructure, Equipment & Services",5257.KL
SENDAI [s],Construction,5205.KL
INNO [s],Plantation,6262.KL
PERDANA [s],"Energy, Infrastructure, Equipment & Services",7108.KL
CCK [s],Food & Beverages,7035.KL
LAYHONG [s],Agricultural Products,9385.KL
KENERGY [s],"Industrial Materials, Components & Equipment",307.KL
SCICOM,Industrial Services,99.KL
SUNCON [s],Construction,5263.KL
FRONTKN [s],Semiconductors,128.KL
ITMAX [s],Digital Services,5309.KL
SPTOTO,"Travel, Leisure & Hospitality",1562.KL
SIME [s],Automotive,4197.KL
